"","lacgene","corgene","cor","pvalue"
"503","ADRB2","CMTM5",0.602108144302401,1.54721347993755e-45
"504","ADRB2","TMEM100",0.701575765641543,1.25256391607077e-67
"505","ADRB2","RBPMS2",0.606948275240433,1.96308310627521e-46
"506","ADRB2","PLIN4",0.561821459895452,1.23979259768225e-38
"507","ADRB2","SCARA5",0.679163512222295,6.93335337689226e-62
"508","ADRB2","PNOC",0.556300069823301,9.27522959279741e-38
"509","ADRB2","FAM107A",0.750484588630057,3.00574771691698e-82
"510","ADRB2","SCNN1B",0.568413892499832,1.06691835790543e-39
"511","ADRB2","TNXB",0.638231868813211,1.27737184793282e-52
"512","ADRB2","GFRA2",0.625160120795626,5.98402978791581e-50
"513","ADRB2","NPTX1",0.534717091712152,1.70509064853511e-34
"514","ADRB2","ANGPTL7",0.50352682452861,3.57068747911157e-30
"515","ADRB2","MAL",0.70613015793809,7.31907204506934e-69
"516","ADRB2","NEGR1",0.643218722975512,1.12988549120338e-53
"517","ADRB2","RCAN2",0.653172649111319,7.77935637418921e-56
"518","ADRB2","MYOZ2",0.512438335672715,2.30896999577893e-31
"519","ADRB2","NIPAL4",0.568366505570487,1.0861099479088e-39
"520","ADRB2","ADCY5",0.62253575963612,1.98598768742947e-49
"521","ADRB2","P2RY14",0.698238174243176,9.70149592399173e-67
"522","ADRB2","UBE2C",-0.584951501823452,1.76876829822445e-42
"523","ADRB2","CADM2",0.537793777606343,6.03558729288041e-35
"524","ADRB2","PRIMA1",0.68511337286202,2.32735676866944e-63
"525","ADRB2","ARL4D",0.52135851335951,1.37176174209386e-32
"526","ADRB2","GNG7",0.672373129537216,3.02818641595099e-60
"527","ADRB2","NRXN1",0.553107144155972,2.91960817778117e-37
"528","ADRB2","SERTM1",0.541650353812837,1.61721351266329e-35
"529","ADRB2","MAB21L1",0.645027453642409,4.63602937973024e-54
"530","ADRB2","TMEM252",0.576122154878901,5.64685523983587e-41
"531","ADRB2","SYNM",0.538438862764234,4.84800713210159e-35
"532","ADRB2","KCTD8",0.522848170932047,8.49096796512563e-33
"533","ADRB2","EMILIN3",0.539526825408754,3.34666462982364e-35
"534","ADRB2","TCEAL2",0.575998003395856,5.92423126191161e-41
"535","ADRB2","NAP1L2",0.700023698134297,3.25658209927337e-67
"536","ADRB2","FOXI2",0.576708511422898,4.50121896706297e-41
"537","ADRB2","P2RX2",0.520005688454083,2.11628576284194e-32
"538","ADRB2","COL4A5",0.524027586368638,5.79814396199482e-33
"539","ADRB2","KIAA0408",0.535988475988086,1.11155374140129e-34
"540","ADRB2","FAM72A",-0.514600907883926,1.17348375809513e-31
"541","ADRB2","FAM72A.1",-0.514600907883926,1.17348375809513e-31
